basin,cnty_abbr,name,prelim_yn,county_name,site,state,latitude,longitude,aqs_id,qa_id,district,met_id,elevation,address,city,zip_code,otemp2018obs 
SFB,ALA,9414750-Alameda,N,Alameda,6943,CA,37.770000000000003,-122.3,,,BA,,0,,Alameda,,83640 
SFB,ALA,Chabot,N,Alameda,3425,CA,37.719999999999999,-122.09,,,BA,RCAB,142,,Castro Valley,94546,8756 
SFB,ALA,Hayward Air Terminal,N,Alameda,5309,CA,37.660800000000002,-122.11799999999999,,,BA,KHWD,11,,Hayward,94545,10535 
SFB,ALA,Livermore Municipal Airport,N,Alameda,5316,CA,37.692799999999998,-121.81399999999999,,,BA,KLVK,121,,Livermore,94551,10438 
SFB,ALA,Oakland International Airport,N,Alameda,2710,CA,37.75,-122.216666,,,BA,KOAK,0,,Oakland,0,10204 
SFB,ALA,Oakland South,N,Alameda,3300,CA,37.783056000000002,-122.15000000000001,,,BA,ROSO,237,RAWS Station CA4A15A2,Oakland,94619,8723 
SFB,ALA,Union City #2,N,Alameda,5814,CA,37.598999999999997,-122.05200000000001,,,BA,,6,,Union City,94587,8065 
SFB,CC,9414863-Richmond,N,Contra Costa,5988,CA,37.927999999999997,-122.40000000000001,,,BA,,6,,Richmond,,58 
SFB,CC,Black Diamond,N,Contra Costa,3296,CA,37.950000000000003,-121.884444,,,BA,RBKD,421,RAWS Station CA4130E6,Brentwood,94513,8718 
SFB,CC,Briones,N,Contra Costa,3297,CA,37.934167000000002,-122.117778,,,YS,RBNE,272,RAWS Station CA414676,Lafayette,94549,8759 
SFB,CC,Buchanan Field,N,Contra Costa,5292,CA,37.991700000000002,-122.05200000000001,,,BA,KCCR,6,,Concord,94520,10165 
SFB,CC,Concord #3,N,Contra Costa,5813,CA,38.003999999999998,-122.02,,,BA,,46,,Concord,94519,8710 
SFB,CC,El Cerrito,N,Contra Costa,7508,CA,37.931547000000002,-122.30271399999999,,,BA,213,596,,,,8654 
SFB,CC,Las Trampas,N,Contra Costa,3299,CA,37.833888999999999,-122.06694400000001,,,BA,RLTR,533,RAWS Station CA415500,Lafayette,94549,8759 
