CÓDIGO,name,place,DIRECCION,LONGITUD_ETRS89,LATITUD_ETRS89,ALTITUD,VV (81),DV (82),T (83),HR (86),PB (87),RS (88),P (89),COD_VIA,VIA_CLASE,VIA_PAR,VIA_NOMBRE,NUM_VIA,COORDENADA_X_ETRS89,COORDENADA_Y_ETRS89,longitude,latitude
28079004,t4,Plaza España,Plaza de España,"3°42'43.91""O","40°25'25.98""N",637,,,X,,,,,273600,PLAZA,DE,ESPAÑA,,4395793291,4475049263,-3.7122567,40.4238823
28079008,t8,Escuelas Aguirre,Entre C/ Alcalá y C/ O’ Donell ,"3°40'56.22""O","40°25'17.63""N",672,,,X,X,,,,18900,CALLE,DE,ALCALA,,4421172366,4474770696,-3.6823158,40.4215533
28079016,t16,Arturo Soria,C/ Arturo Soria  esq. C/  Vizconde de los Asilos ,"3°38'21.17""O","40°26'24.20""N",695,,,X,X,,,,798700,CALLE,DEL,VIZCONDE DE LOS ASILOS,,4457861729,4476796019,-3.6392422,40.4400457
28079018,t18,Farolillo,Calle Farolillo - C/Ervigio,"3°43'54.61""O","40°23'41.22""N",625,,,X,,,,,1903,CALLE,DEL,FAROLILLO,,4378916961,4471832769,-3.7318356,40.3947825
28079024,t24,Casa de Campo,Casa de Campo  (Terminal del Teleférico),"3°44'50.44""O","40°25'9.69""N",645,X,X,X,X,X,X,X,905219,CARRETERA,DEL,TELEFERICO,,4365985637,4474571618,-3.7473445,40.4193577
28079035,t35,Plaza del Carmen,Plaza del Carmen esq. Tres Cruces. ,"3°42'11.40""O","40°25'9.15""N",660,,,X,X,,,,145800,PLAZA,DEL,CARMEN,,4403463619,4474524357,-3.7031662,40.4192091
28079036,t36,Moratalaz,Avd. Moratalaz  esq. Camino de los Vinateros,"3°38'43.02""O","40°24'28.64""N",671,,,X,X,,,,522000,AVENIDA,DE,MORATALAZ,,445245513,4473237349,-3.6453104,40.4079517
28079038,t38,Cuatro Caminos,Avd. Pablo Iglesias esq. C/ Marqués de Lema,"3°42'25.64""O","40°26'43.97""N",699,,,X,X,,,,554550,AVENIDA,DE,PABLO IGLESIAS,,4400334632,4477450211,-3.7071303,40.4455439
28079039,t39,Barrio del Pilar,Avd. Betanzos esq. C/  Monforte de Lemos ,"3°42'41.53""O","40°28'41.64""N",675,,,X,X,,,X,514425,AVENIDA,DE,MONFORTE DE LEMOS,,4396890496,4481081619,-3.7115364,40.4782322
28079054,t54,Ensanche de Vallecas,Avda La Gavia / Avda. Las Suertes,"3°36'43.70""O","40°22'22.84""N",628,X,X,X,X,,X,X,31000516,AVENIDA,DE,LA GAVIA,,4480332263,4469339044,-3.6121394,40.3730118
28079056,t56,Plaza Elíptica,Pza. Elíptica - Avda. Oporto,"3°43'7.54""O","40°23'6.10""N",605,X,X,X,X,X,,X,293200,PLAZA,,ELIPTICA,,4389919161,4470741548,-3.7187679,40.3850336
28079059,t59,Juan Carlos I,Parque Juan Carlos I (frente oficinas mantenimiento),3°36'32.51''O,40°27'54.52''N,660,X,X,X,X,X,X,X,,PARQUE,,JUAN CARLOS I,,4483676,447956383,-3.609031,40.465144
28079102,t102,J.M.D. Moratalaz,C/ Fuente Carantona 8,3º 38' 13'' O,40º 23' 55'' N,686,X,X,X,X,X,X,X,315060,CALLE,DE LA,FUENTE CARRANTONA,8,44594789,44721954,-3.636944,40.398611
28079103,t103,J.M.D. Villaverde,C/ Arroyo Bueno 53,3°42'4024''W,40°20'56''N,595,X,X,X,X,X,X,X,74200,CALLE,DEL,ARROYO BUENO,53,439603885,4466725787,-3.711178,40.348902
28079106,t106,Centro Mpal. De Acústica,Autovía M-30 Km. 21.700,3°44'24.45''O,40°26'32.13''N,586,X,X,X,X,X,X,X,31001349,AUTOVÍA,,M-30,217,4372323,447710861,-3.740125,40.44226
28079107,t107,J.M.D. Hortaleza,Ctra. de Canillas 2,3°39'24.99''O,40°27'46.16''N,706,X,X,X,X,X,X,X,133455,CARRETERA,DE,CANILLAS,2,444303692,447933528,-3.656944,40.462823
